[[-0.002332306, 1.4106855, -0.11796548, -0.018047301, 0.002680145, 0.02644663, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.0034986497, 1.4096798, -0.117969714, -0.044705663, 0.004001549, 0.026430542, 0.0, 0.0], [0, 0, 0], -0.7136466137059188]
[[-0.0046649934, 1.4080738, -0.11797364, -0.07137712, 0.0053227935, 0.026427452, 0.0, 0.0], [0, 0, 0], -1.8584332726249215]
[[-0.005831337, 1.4058679, -0.117977545, -0.09804568, 0.006643841, 0.026423331, 0.0, 0.0], [0, 0, 0], -3.3218489481766937]
[[-0.006997776, 1.403062, -0.11798147, -0.12471407, 0.007964679, 0.026419232, 0.0, 0.0], [0, 0, 0], -5.001610644880657]
[[-0.008164311, 1.399656, -0.11798538, -0.15138243, 0.009285313, 0.026415098, 0.0, 0.0], [0, 0, 0], -6.818968253169999]
[[-0.0093307495, 1.3956501, -0.11798928, -0.17805086, 0.010605737, 0.026410913, 0.0, 0.0], [0, 0, 0], -8.717822657388552]
[[-0.010497284, 1.3910441, -0.11799316, -0.20471936, 0.01192594, 0.026406825, 0.0, 0.0], [0, 0, 0], -10.659279145060367]
[[-0.011663914, 1.3858382, -0.11799703, -0.23138787, 0.01324595, 0.026402771, 0.0, 0.0], [0, 0, 0], -12.616518545476424]
[[-0.012830543, 1.3800322, -0.118000865, -0.25805646, 0.014565768, 0.026398873, 0.0, 0.0], [0, 0, 0], -14.57076816501359]
[[-0.013997269, 1.3736262, -0.1180047, -0.2847251, 0.015885418, 0.026395481, 0.0, 0.0], [0, 0, 0], -16.508738600071723]
[[-0.0151638985, 1.3666201, -0.11800852, -0.31139377, 0.017204873, 0.026391547, 0.0, 0.0], [0, 0, 0], -18.420808157312365]
[[-0.016330624, 1.359014, -0.11801233, -0.3380625, 0.018524155, 0.026388142, 0.0, 0.0], [0, 0, 0], -20.299935060130338]
[[-0.017497445, 1.3508081, -0.118016124, -0.36473125, 0.019843245, 0.026384229, 0.0, 0.0], [0, 0, 0], -22.140829610566414]
[[-0.018664265, 1.3420019, -0.118019916, -0.39140007, 0.021162162, 0.026380831, 0.0, 0.0], [0, 0, 0], -23.93946070346223]
[[-0.01983118, 1.3325958, -0.11802368, -0.41806892, 0.022480896, 0.026376959, 0.0, 0.0], [0, 0, 0], -25.69276383320272]
[[-0.020998096, 1.3225896, -0.118027434, -0.44473782, 0.023799447, 0.026373636, 0.0, 0.0], [0, 0, 0], -27.398294718431146]
[[-0.022165012, 1.3119835, -0.11803117, -0.47140673, 0.025117815, 0.026369795, 0.0, 0.0], [0, 0, 0], -29.054128795811067]
[[-0.023332024, 1.3007772, -0.1180349, -0.4980757, 0.026436035, 0.026366662, 0.0, 0.0], [0, 0, 0], -30.658758020693398]
[[-0.024499035, 1.2889711, -0.118038595, -0.52474475, 0.027754, 0.026361894, 0.0, 0.0], [0, 0, 0], -32.21092150970986]
[[-0.025666142, 1.2765648, -0.11804233, -0.5514137, 0.029071832, 0.026358854, 0.0, 0.0], [0, 0, 0], -33.70959764801165]
[[-0.026833247, 1.2635585, -0.118045986, -0.57808274, 0.030389475, 0.026355421, 0.0, 0.0], [0, 0, 0], -35.15394520431812]
[[-0.028000355, 1.2499522, -0.118049644, -0.6047518, 0.031706944, 0.026351979, 0.0, 0.0], [0, 0, 0], -36.543300356209215]
[[-0.029167652, 1.2357459, -0.1180533, -0.6314209, 0.033024233, 0.02634818, 0.0, 0.0], [0, 0, 0], -37.87706447716505]
[[-0.030334378, 1.2209179, -0.118009314, -0.65904325, 0.034341466, 0.026344653, 0.0, 0.0], [0, 0, 0], -39.24558717877929]
[[-0.031501103, 1.2054901, -0.11800931, -0.68571, 0.035658713, 0.026344776, 0.0, 0.0], [0, 0, 0], -40.46452200497572]
[[-0.032667827, 1.1894624, -0.11800929, -0.7123768, 0.036975946, 0.02634485, 0.0, 0.0], [0, 0, 0], -41.626630676311436]
[[-0.033834554, 1.1728348, -0.11800929, -0.73904353, 0.038293194, 0.02634481, 0.0, 0.0], [0, 0, 0], -42.73162099630915]
[[-0.035001278, 1.155607, -0.11800929, -0.7657103, 0.03961043, 0.026344726, 0.0, 0.0], [0, 0, 0], -43.77922396644996]
[[-0.0361681, 1.1377794, -0.118009284, -0.7923771, 0.04092767, 0.026344765, 0.0, 0.0], [0, 0, 0], -44.76925479263738]
[[-0.037334822, 1.1193516, -0.118009284, -0.8190439, 0.042244922, 0.026344866, 0.0, 0.0], [0, 0, 0], -45.70150197553647]
[[-0.03850155, 1.1003239, -0.11800927, -0.84571064, 0.043562155, 0.02634484, 0.0, 0.0], [0, 0, 0], -46.575820717430105]
[[-0.039668273, 1.0806965, -0.118009254, -0.8723774, 0.044879396, 0.026344802, 0.0, 0.0], [0, 0, 0], -47.39209599798704]
[[-0.040835, 1.0604689, -0.11800923, -0.89904416, 0.04619663, 0.026344797, 0.0, 0.0], [0, 0, 0], -48.15018674215412]
[[-0.04200182, 1.0396414, -0.118009225, -0.925711, 0.04751387, 0.02634481, 0.0, 0.0], [0, 0, 0], -48.85002405016405]
[[-0.043168545, 1.0182137, -0.118009225, -0.95237786, 0.048831098, 0.026344787, 0.0, 0.0], [0, 0, 0], -49.49151053809828]
[[-0.04433527, 0.9961863, -0.118009225, -0.9790446, 0.05014833, 0.026344782, 0.0, 0.0], [0, 0, 0], -50.07461237220585]
[[-0.045501996, 0.9735588, -0.11800921, -1.0057113, 0.05146557, 0.026344756, 0.0, 0.0], [0, 0, 0], -50.59926528313508]
[[-0.046668816, 0.9503314, -0.118009195, -1.0323781, 0.05278281, 0.026344761, 0.0, 0.0], [0, 0, 0], -51.06547068619736]
[[-0.04783554, 0.92650396, -0.118009195, -1.059045, 0.054100037, 0.026344767, 0.0, 0.0], [0, 0, 0], -51.473185884488345]
[[-0.049002267, 0.90207654, -0.11800919, -1.0857118, 0.055417266, 0.026344772, 0.0, 0.0], [0, 0, 0], -51.822443573132034]
[[-0.05016899, 0.87704915, -0.11800919, -1.1123785, 0.056734506, 0.02634495, 0.0, 0.0], [0, 0, 0], -52.11322695418704]
[[-0.05133581, 0.85142183, -0.11800917, -1.1390451, 0.058051746, 0.026344959, 0.0, 0.0], [0, 0, 0], -52.34559833754099]
[[-0.052502535, 0.8251944, -0.118009165, -1.165712, 0.059368998, 0.026344974, 0.0, 0.0], [0, 0, 0], -52.519626327879394]
[[-0.053669263, 0.798367, -0.118009165, -1.1923786, 0.06068624, 0.026345003, 0.0, 0.0], [0, 0, 0], -52.63535309464922]
[[-0.054836083, 0.7709398, -0.118009165, -1.2190455, 0.062003504, 0.026345018, 0.0, 0.0], [0, 0, 0], -52.69295212355445]
[[-0.056002807, 0.74291253, -0.11800915, -1.2457122, 0.06332075, 0.026345024, 0.0, 0.0], [0, 0, 0], -52.69247499056354]
[[-0.057169534, 0.7142853, -0.118009135, -1.2723788, 0.064637996, 0.02634499, 0.0, 0.0], [0, 0, 0], -52.6341368149925]
[[-0.058336355, 0.68505806, -0.11800913, -1.2990457, 0.065955244, 0.02634499, 0.0, 0.0], [0, 0, 0], -52.51818082125956]
[[-0.05950308, 0.65523076, -0.11800911, -1.3257123, 0.06727248, 0.026344996, 0.0, 0.0], [0, 0, 0], -52.34481248009712]
[[-0.0606699, 0.6248035, -0.11800909, -1.3523792, 0.068589725, 0.026345035, 0.0, 0.0], [0, 0, 0], -52.1144455747025]
[[-0.061836623, 0.5937764, -0.11800907, -1.3790458, 0.069906965, 0.026344981, 0.0, 0.0], [0, 0, 0], -51.827475340332114]
[[-0.06300335, 0.56214935, -0.11800905, -1.4057125, 0.071224205, 0.026344975, 0.0, 0.0], [0, 0, 0], -51.48446258095751]
[[-0.06417017, 0.5299222, -0.11800903, -1.4323794, 0.07254146, 0.02634499, 0.0, 0.0], [0, 0, 0], -51.08614963867342]
[[-0.0653369, 0.49709517, -0.11800901, -1.459046, 0.0738587, 0.02634496, 0.0, 0.0], [0, 0, 0], -50.63342625788627]
[[-0.06650372, 0.46366805, -0.11800899, -1.4857129, 0.07517594, 0.026344934, 0.0, 0.0], [0, 0, 1], -50.12755820397024]
[[-0.06757565, 0.42965794, -0.106096886, -1.5115086, 0.074089594, -0.02172697, 0.0, 0.0], [0, 0, 1], -49.18510480423444]
[[-0.06858645, 0.39506286, -0.09840688, -1.5374296, 0.071446516, -0.052861564, 0.0, 0.0], [0, 0, 1], -48.08888324203133]
[[-0.06953373, 0.35987028, -0.09044316, -1.5639168, 0.067207836, -0.08477353, 0.0, 0.0], [0, 0, 1], -46.845830672396744]
[[-0.07040195, 0.3240841, -0.08052479, -1.5902264, 0.060978293, -0.12459101, 0.0, 0.0], [0, 0, 0], -45.337924208126054]
[[-0.07127027, 0.28769848, -0.08052447, -1.6168962, 0.054748762, -0.12459067, 0.0, 0.0], [0, 0, 0], -43.853793400912224]
[[-0.07213859, 0.25071332, -0.08052419, -1.643566, 0.04851925, -0.124590315, 0.0, 0.0], [0, 0, 0], -42.343628007522824]
[[-0.07300691, 0.2131287, -0.08052394, -1.6702359, 0.042289756, -0.12459004, 0.0, 0.0], [0, 0, 0], -40.824600303927326]
[[-0.07387523, 0.1749447, -0.080523714, -1.6969056, 0.03606027, -0.12458966, 0.0, 0.0], [0, 0, 1], -39.32728448349158]
[[-0.07464905, 0.13617475, -0.06867009, -1.7229217, 0.027449593, -0.17221385, 0.0, 0.0], [0, 0, 1], -37.582702576191394]
[[-0.07533713, 0.09680158, -0.057901837, -1.7497544, 0.01668497, -0.21529213, 0.0, 0.0], [0, 0, 1], -35.91545812742379]
[[-0.07593489, 0.056843672, -0.046566494, -1.7758114, 0.0036468352, -0.26076275, 0.0, 0.0], [0, 0, 1], -34.43171381381603]
[[-0.07646112, 0.0162994, -0.037605785, -1.8019986, -0.011186303, -0.2966626, 0.0, 0.0], [0, 0, 1], -36.14507395955525]
[[-0.07691135, -0.024837282, -0.028066183, -1.8285087, -0.027928788, -0.33485025, 1.0, 1.0], [0, 0, 1], -20.746956967701692]
---
[[0.0071512223, 1.4277691, 0.36166075, 0.3615551, -0.008189853, -0.08107574, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.010727024, 1.4353057, 0.36167353, 0.33493072, -0.012241046, -0.08103142, 0.0, 0.0], [0, 0, 0], 0.6844376013296198]
[[0.014302826, 1.4422424, 0.36168554, 0.30825907, -0.016291717, -0.08102094, 0.0, 0.0], [0, 0, 0], 1.3536263081259392]
[[0.017878914, 1.4485793, 0.36169755, 0.28158885, -0.02034175, -0.081008255, 0.0, 0.0], [0, 0, 0], 1.9950649945267855]
[[0.021455098, 1.4543161, 0.36170954, 0.25491932, -0.024391158, -0.08099551, 0.0, 0.0], [0, 0, 0], 2.5989178054534534]
[[0.025031377, 1.4594536, 0.36172146, 0.22824986, -0.028439926, -0.08098296, 0.0, 0.0], [0, 0, 0], 3.154415100603842]
[[0.02860775, 1.463991, 0.36173335, 0.2015803, -0.032488078, -0.08097025, 0.0, 0.0], [0, 0, 0], 3.6500818129448476]
[[0.03218441, 1.4679286, 0.36174518, 0.17491063, -0.03653558, -0.080957614, 0.0, 0.0], [0, 0, 0], 4.073808997513282]
[[0.03576107, 1.4712663, 0.36175698, 0.14824091, -0.040582463, -0.08094504, 0.0, 0.0], [0, 0, 0], 4.413229960864555]
[[0.039337922, 1.4740041, 0.36176872, 0.12157111, -0.044628713, -0.08093247, 0.0, 0.0], [0, 0, 0], 4.656067890131396]
[[0.04291477, 1.4761425, 0.36178043, 0.09490123, -0.048674338, -0.080919944, 0.0, 0.0], [0, 0, 0], 4.790662997758119]
[[0.04649191, 1.4776807, 0.3617921, 0.068231255, -0.052719355, -0.08090746, 0.0, 0.0], [0, 0, 0], 4.806652509376562]
[[0.050069142, 1.4786193, 0.3618037, 0.041561175, -0.056763742, -0.080895014, 0.0, 0.0], [0, 0, 0], 4.695413721325167]
[[0.053646564, 1.4789579, 0.36181527, 0.01489098, -0.06080751, -0.08088261, 0.0, 0.0], [0, 0, 0], 4.450802435718572]
[[0.057223987, 1.4786967, 0.3618268, -0.011779299, -0.06485064, -0.08087026, 0.0, 0.0], [0, 0, 0], 4.06949837323225]
[[0.060801506, 1.4778357, 0.36183825, -0.038449626, -0.06889317, -0.080857985, 0.0, 0.0], [0, 0, 0], 3.551320466582581]
[[0.06437931, 1.4763749, 0.36184964, -0.065120034, -0.072935104, -0.08084575, 0.0, 0.0], [0, 0, 0], 2.8992114566300984]
[[0.06795721, 1.4743142, 0.36186102, -0.09179049, -0.07697643, -0.08083357, 0.0, 0.0], [0, 0, 0], 2.119022605558939]
[[0.07153521, 1.4716537, 0.36187232, -0.11846103, -0.081017144, -0.08082143, 0.0, 0.0], [0, 0, 0], 1.2190781693093982]
[[0.0751133, 1.4683934, 0.36188358, -0.14513165, -0.08505725, -0.08080935, 0.0, 0.0], [0, 0, 0], 0.20959093059394718]
[[0.07869158, 1.4645332, 0.36189473, -0.17180234, -0.08909675, -0.0807973, 0.0, 0.0], [0, 0, 0], -0.8979225745729877]
[[0.08227005, 1.4600731, 0.36190584, -0.19847311, -0.09313565, -0.08078525, 0.0, 0.0], [0, 0, 0], -2.091299821454527]
[[0.085848615, 1.4550133, 0.36191693, -0.22514395, -0.09717396, -0.08077339, 0.0, 0.0], [0, 0, 0], -3.3581949903978625]
[[0.08942728, 1.4493535, 0.36192793, -0.2518149, -0.101211675, -0.08076156, 0.0, 0.0], [0, 0, 0], -4.6864843444342625]
[[0.09300451, 1.4430727, 0.3617923, -0.2794347, -0.1052493, -0.08075188, 0.0, 0.0], [0, 0, 0], -6.10887251390281]
[[0.09658184, 1.4361918, 0.3617921, -0.30610278, -0.109286904, -0.08075177, 0.0, 0.0], [0, 0, 0], -7.5266687854215775]
[[0.10015907, 1.4287113, 0.36179188, -0.33277082, -0.11332449, -0.08075164, 0.0, 0.0], [0, 0, 0], -8.973319662400797]
[[0.1037364, 1.4206309, 0.36179167, -0.35943887, -0.117362075, -0.080751464, 0.0, 0.0], [0, 0, 0], -10.439752944055783]
[[0.10731383, 1.4119511, 0.36179143, -0.3861069, -0.12139965, -0.08075129, 0.0, 0.0], [0, 0, 0], -11.91786950644206]
[[0.11089115, 1.402671, 0.3617912, -0.41277492, -0.12543721, -0.080751225, 0.0, 0.0], [0, 0, 0], -13.400325731032893]
[[0.114468575, 1.3927915, 0.36179096, -0.43944293, -0.12947479, -0.08075106, 0.0, 0.0], [0, 0, 0], -14.880699113673273]
[[0.118045904, 1.3823119, 0.3617907, -0.46611091, -0.13351233, -0.08075091, 0.0, 0.0], [0, 0, 0], -16.353189164098183]
