[[-0.01548214, 1.4152193, -0.78301173, 0.08264008, 0.017752597, 0.17553987, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.023223877, 1.416482, -0.7830392, 0.055986535, 0.026523529, 0.17543492, 0.0, 0.0], [0, 0, 0], -0.7816842745202166]
[[-0.030965805, 1.4171456, -0.7830649, 0.029310035, 0.035293303, 0.17541207, 0.0, 0.0], [0, 0, 0], -1.597324080478728]
[[-0.03870802, 1.4172103, -0.7830905, 0.002636317, 0.04406169, 0.1753839, 0.0, 0.0], [0, 0, 0], -2.4478179776646414]
[[-0.046450615, 1.4166758, -0.7831162, -0.024037562, 0.052828643, 0.17535536, 0.0, 0.0], [0, 0, 0], -3.333363512833671]
[[-0.0541934, 1.4155424, -0.78314173, -0.05071167, 0.061594177, 0.17532709, 0.0, 0.0], [0, 0, 0], -4.253822843733019]
[[-0.06193657, 1.4138098, -0.7831672, -0.077386014, 0.0703583, 0.1752989, 0.0, 0.0], [0, 0, 0], -5.2088138558463015]
[[-0.06968012, 1.4114783, -0.78319246, -0.104060605, 0.07912102, 0.17527081, 0.0, 0.0], [0, 0, 0], -6.197626855674741]
[[-0.077423856, 1.4085476, -0.78321755, -0.13073546, 0.08788236, 0.17524278, 0.0, 0.0], [0, 0, 0], -7.219293433137807]
[[-0.08516808, 1.4050179, -0.78324246, -0.1574104, 0.09664229, 0.17521487, 0.0, 0.0], [0, 0, 0], -8.272543572547562]
[[-0.09291258, 1.4008893, -0.7832672, -0.18408562, 0.105400845, 0.17518699, 0.0, 0.0], [0, 0, 0], -9.355935533988031]
[[-0.10065746, 1.3961616, -0.78329176, -0.21076109, 0.11415801, 0.17515925, 0.0, 0.0], [0, 0, 0], -10.467737845200872]
[[-0.10840263, 1.3908348, -0.78331614, -0.23743677, 0.12291381, 0.17513163, 0.0, 0.0], [0, 0, 0], -11.6060584472566]
[[-0.11614809, 1.384909, -0.78334033, -0.26411274, 0.13166821, 0.17510405, 0.0, 0.0], [0, 0, 0], -12.768856641408092]
[[-0.12389402, 1.3783842, -0.78336424, -0.29078892, 0.14042124, 0.17507662, 0.0, 0.0], [0, 0, 0], -13.953930020307041]
[[-0.13164024, 1.3712603, -0.783388, -0.31746534, 0.1491729, 0.17504932, 0.0, 0.0], [0, 0, 0], -15.15899383596161]
[[-0.13938694, 1.3635373, -0.78341156, -0.34414202, 0.15792324, 0.17502216, 0.0, 0.0], [0, 0, 0], -16.381706074950046]
[[-0.14713392, 1.3552152, -0.7834349, -0.37081894, 0.16667219, 0.17499505, 0.0, 0.0], [0, 0, 0], -17.61962024577045]
[[-0.15488128, 1.3462939, -0.78345805, -0.39749607, 0.17541979, 0.17496803, 0.0, 0.0], [0, 0, 0], -18.870322237883414]
[[-0.16262904, 1.3367736, -0.783481, -0.42417344, 0.18416606, 0.17494115, 0.0, 0.0], [0, 0, 0], -20.131392009061813]
[[-0.17037706, 1.3266542, -0.78350365, -0.45085105, 0.19291098, 0.17491427, 0.0, 0.0], [0, 0, 0], -21.400422286823527]
[[-0.17812558, 1.3159356, -0.7835261, -0.47752893, 0.20165458, 0.17488778, 0.0, 0.0], [0, 0, 0], -22.67506314820031]
[[-0.18587446, 1.304618, -0.7835483, -0.504207, 0.21039686, 0.17486122, 0.0, 0.0], [0, 0, 0], -23.953016502693004]
[[-0.19362374, 1.2927012, -0.78357023, -0.53088534, 0.21913782, 0.17483486, 0.0, 0.0], [0, 0, 0], -25.232068970234764]
[[-0.20136552, 1.2801774, -0.7832011, -0.5579928, 0.22828014, 0.18285216, 0.0, 0.0], [0, 0, 0], -26.542478769484205]
[[-0.20911217, 1.2670417, -0.78328156, -0.58516556, 0.23702015, 0.17479993, 0.0, 0.0], [0, 0, 0], -27.85108508574868]
[[-0.21685901, 1.253307, -0.7832793, -0.61183846, 0.24576008, 0.17479877, 0.0, 0.0], [0, 0, 0], -29.11909304915997]
[[-0.22460599, 1.2389733, -0.7832771, -0.6385114, 0.25449997, 0.17479804, 0.0, 0.0], [0, 0, 0], -30.380441494084863]
[[-0.23235317, 1.2240407, -0.78327477, -0.6651843, 0.26323983, 0.17479734, 0.0, 0.0], [0, 0, 0], -31.63349085694267]
[[-0.24010047, 1.2085091, -0.7832723, -0.6918572, 0.27197966, 0.17479652, 0.0, 0.0], [0, 0, 0], -32.87667931923187]
[[-0.24784803, 1.1923784, -0.78326976, -0.71853006, 0.28071946, 0.17479517, 0.0, 0.0], [0, 0, 0], -34.108620296423396]
[[-0.25559574, 1.1756487, -0.78326714, -0.74520296, 0.28945917, 0.17479397, 0.0, 0.0], [0, 0, 0], -35.32808649884714]
[[-0.26334357, 1.15832, -0.78326446, -0.77187574, 0.2981988, 0.17479238, 0.0, 0.0], [0, 0, 0], -36.53395504124245]
[[-0.2710917, 1.1403921, -0.78326166, -0.7985486, 0.30693835, 0.17479149, 0.0, 0.0], [0, 0, 0], -37.725305164882]
[[-0.27884, 1.1218653, -0.7832588, -0.82522136, 0.31567788, 0.17479058, 0.0, 0.0], [0, 0, 0], -38.90138553126815]
[[-0.28658852, 1.1027396, -0.78325593, -0.85189414, 0.32441735, 0.1747897, 0.0, 0.0], [0, 0, 0], -40.061555078669585]
[[-0.29433727, 1.0830146, -0.78325284, -0.87856686, 0.3331568, 0.17478892, 0.0, 0.0], [0, 0, 0], -41.20537940079532]
[[-0.3020862, 1.0626906, -0.7832497, -0.90523964, 0.3418962, 0.17478797, 0.0, 0.0], [0, 0, 0], -42.33261727289056]
[[-0.30983537, 1.0417677, -0.78324646, -0.9319123, 0.35063556, 0.17478703, 0.0, 0.0], [0, 0, 0], -43.44321969545308]
[[-0.3175848, 1.0202458, -0.78324324, -0.958585, 0.35937485, 0.17478612, 0.0, 0.0], [0, 0, 0], -44.53734556546959]
[[-0.32533446, 0.99812466, -0.7832399, -0.98525774, 0.3681141, 0.17478521, 0.0, 0.0], [0, 0, 0], -45.61532637447135]
[[-0.3330844, 0.97540456, -0.78323644, -1.0119303, 0.37685332, 0.1747843, 0.0, 0.0], [0, 0, 0], -46.67779215536302]
[[-0.34083453, 0.9520854, -0.7832329, -1.038603, 0.3855925, 0.1747834, 0.0, 0.0], [0, 0, 0], -47.725593318286656]
[[-0.34858495, 0.9281672, -0.78322935, -1.0652755, 0.39433163, 0.17478266, 0.0, 0.0], [0, 0, 0], -48.75988582163268]
[[-0.35633558, 0.90365, -0.78322566, -1.0919483, 0.40307072, 0.17478172, 0.0, 0.0], [0, 0, 0], -49.78209952204418]
[[-0.36408654, 0.8785336, -0.78322196, -1.118621, 0.41180968, 0.17477939, 0.0, 0.0], [0, 0, 0], -50.79398789097149]
[[-0.37183776, 0.8528182, -0.7832181, -1.1452934, 0.42054862, 0.1747784, 0.0, 0.0], [0, 0, 0], -51.797690471996134]
[[-0.37958926, 0.82650375, -0.7832142, -1.1719658, 0.4292875, 0.17477752, 0.0, 0.0], [0, 0, 0], -52.7958141810347]
[[-0.38734102, 0.7995901, -0.7832103, -1.1986383, 0.4380263, 0.17477658, 0.0, 0.0], [0, 0, 0], -53.79134533910559]
[[-0.39509305, 0.7720774, -0.7832062, -1.2253108, 0.4467651, 0.17477569, 0.0, 0.0], [0, 0, 0], -54.78783517228783]
[[-0.40284538, 0.7439657, -0.78320205, -1.2519833, 0.45550385, 0.17477493, 0.0, 0.0], [0, 0, 0], -55.78942377147854]
[[-0.41059804, 0.7152549, -0.7831979, -1.2786556, 0.46424258, 0.17477423, 0.0, 0.0], [0, 0, 0], -56.800875031128214]
[[-0.41835102, 0.685945, -0.78319365, -1.3053279, 0.47298124, 0.1747733, 0.0, 0.0], [0, 0, 0], -57.82771089645337]
[[-0.4261043, 0.656036, -0.7831893, -1.3320003, 0.48171985, 0.17477235, 0.0, 0.0], [0, 0, 0], -58.87630996058647]
[[-0.43385792, 0.6255278, -0.7831849, -1.3586726, 0.49045843, 0.17477144, 0.0, 0.0], [0, 0, 0], -59.953960802594736]
[[-0.44161183, 0.5944205, -0.78318036, -1.3853451, 0.49919695, 0.17477056, 0.0, 0.0], [0, 0, 0], -61.069040765101136]
[[-0.44936603, 0.56271416, -0.7831758, -1.4120173, 0.5079354, 0.1747696, 0.0, 0.0], [0, 0, 0], -62.23105534790204]
[[-0.45712057, 0.5304086, -0.78317124, -1.4386896, 0.51667386, 0.17476866, 0.0, 0.0], [0, 0, 0], -63.45085383441136]
[[-0.46487546, 0.497504, -0.78316647, -1.4653618, 0.52541226, 0.17476784, 0.0, 0.0], [0, 0, 0], -64.74069288531075]
[[-0.47263068, 0.46400028, -0.7831617, -1.4920338, 0.5341506, 0.1747669, 0.0, 0.0], [0, 0, 0], -66.1143403330529]
[[-0.48038626, 0.4298974, -0.7831568, -1.518706, 0.5428889, 0.17476591, 0.0, 0.0], [0, 0, 0], -67.58716936386134]
[[-0.4881422, 0.3951954, -0.7831518, -1.5453781, 0.5516271, 0.17476493, 0.0, 0.0], [0, 0, 0], -69.1761774918134]
[[-0.4958985, 0.3598943, -0.7831468, -1.5720502, 0.5603653, 0.17476396, 0.0, 0.0], [0, 0, 0], -70.89993110701937]
[[-0.50365514, 0.32399404, -0.78314173, -1.5987222, 0.5691035, 0.17476328, 0.0, 0.0], [0, 0, 0], -72.77837435667448]
[[-0.5114122, 0.28749463, -0.78313655, -1.6253943, 0.5778416, 0.17476211, 0.0, 0.0], [0, 0, 0], -74.8326136945318]
[[-0.51916957, 0.2503961, -0.7831313, -1.6520665, 0.5865796, 0.17476138, 0.0, 0.0], [0, 0, 0], -77.08437525411455]
[[-0.5269273, 0.2126984, -0.78312606, -1.6787384, 0.5953176, 0.17476013, 0.0, 0.0], [0, 0, 0], -79.5554193725277]
[[-0.53468543, 0.17440154, -0.78312075, -1.7054104, 0.6040556, 0.17475913, 0.0, 0.0], [0, 0, 0], -82.26678320795224]
[[-0.54244393, 0.1355055, -0.78311527, -1.7320824, 0.6127935, 0.17475824, 0.0, 0.0], [0, 0, 0], -85.23781067582155]
[[-0.55020285, 0.09601029, -0.7831098, -1.7587543, 0.62153137, 0.17475732, 0.0, 0.0], [0, 0, 0], -88.4852438353679]
[[-0.5579621, 0.055915985, -0.78310424, -1.785426, 0.63026917, 0.1747566, 0.0, 1.0], [0, 0, 0], -82.02238530214726]
[[-0.5581545, 0.047359023, -0.12278564, -0.447212, 0.7245915, 1.8250535, 0.0, 1.0], [0, 0, 0], 57.190393114320415]
[[-0.5585063, 0.038753208, -0.09084983, -0.41791973, 0.80088425, 1.52622, 0.0, 0.0], [0, 0, 0], 43.20033136841937]
[[-0.5578733, 0.035391223, 0.08787717, -0.14043026, 0.76318216, -0.6566625, 0.0, 0.0], [0, 0, 0], 73.25808236929097]
[[-0.55710876, 0.03207837, 0.11099851, -0.12985545, 0.7138471, -0.93398225, 0.0, 0.0], [0, 0, 0], 77.77079098427197]
[[-0.556297, 0.028496513, 0.124254964, -0.13560738, 0.6587254, -1.1025486, 0.0, 0.0], [0, 0, 0], 82.07397438189395]
[[-0.5554463, 0.024573121, 0.13264853, -0.15119982, 0.60050726, -1.1644257, 0.0, 0.0], [0, 0, 0], 86.2781022841738]
[[-0.5545976, 0.020157848, 0.13532026, -0.17457272, 0.54121464, -1.1859205, 0.0, 0.0], [0, 0, 0], 90.33604723880316]
[[-0.55375564, 0.015174733, 0.13598065, -0.20201638, 0.4824944, -1.1744549, 0.0, 0.0], [0, 0, 0], 94.04405529204477]
[[-0.5529281, 0.00963547, 0.13614734, -0.22880624, 0.42379755, -1.173987, 0.0, 0.0], [0, 0, 0], 97.73588617200474]
[[-0.55211323, 0.0035411692, 0.13629737, -0.25559333, 0.3651153, -1.173694, 0.0, 0.0], [0, 0, 0], 101.35138231629904]
[[-0.5513093, -0.0031071687, 0.136438, -0.28238952, 0.30644906, -1.1733743, 0.0, 0.0], [0, 0, 0], 104.90274543132554]
[[-0.5505145, -0.0103087565, 0.13656755, -0.30919227, 0.24779879, -1.173054, 0.0, 0.0], [0, 0, 0], 108.39977088490906]
[[-0.5497269, -0.018062916, 0.13668531, -0.33600125, 0.1891645, -1.1727335, 0.0, 0.0], [0, 0, 0], 111.84899475586502]
[[-0.5489447, -0.02636918, 0.13679063, -0.362816, 0.13054623, -1.1724136, 1.0, 0.0], [0, 0, 0], 125.25470729683167]
[[-0.5481068, -0.034604527, 0.12581879, -0.3631583, 0.090809114, -0.79226303, 1.0, 1.0], [0, 0, 0], 139.60738045075536]
---
[[0.002003479, 1.3883598, 0.101314984, -0.5141571, -0.0022897252, -0.022716116, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.0030051232, 1.3761904, 0.101318516, -0.5408615, -0.0034246068, -0.022699837, 0.0, 0.0], [0, 0, 0], -1.5192775213027687]
[[0.0040068626, 1.363421, 0.10132182, -0.56753486, -0.0045593106, -0.022696573, 0.0, 0.0], [0, 0, 0], -2.9799465307718265]
[[0.005008602, 1.3500514, 0.10132517, -0.59420437, -0.00569386, -0.022693042, 0.0, 0.0], [0, 0, 0], -4.384102749961187]
